signature_id,chapter,label,position_before,fen_before,move_san,move_uci,rank_top8,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,principal_variation,engine,nodes
SIG-01,Londres,Rupture immédiate,1. d4 d5 2. Nf3 Nf6 3. Bf4,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,c5,c7c5,2,15,15,0,A,c5 e3 e6 c4 cxd4 exd4 dxc4 Bxc4 Bd6 Ne5 O-O,Stockfish 18 WASM,200000
SIG-02,Londres,Double pression b2-d4,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,Qb6,d8b6,1,-8,-8,0,A,Qb6 Qc2 Nh5 dxc5 Qxc5 b4,Stockfish 18 WASM,200000
SIG-03,Londres,Gain de temps et finale axb6,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/1QP1PN2/PP3PPP/RN2KB1R b KQkq - 2 6,c4,c5c4,1,-38,-38,0,A,c4 Qxb6 axb6 Be2 b5 a3 Bf5 Nbd2 e6 O-O,Stockfish 18 WASM,200000
SIG-04,Londres,Raid sur b2,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. dxc5,r1b1kb1r/pp2pppp/1qn2n2/2Pp4/5B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 6,Qxb2,b6b2,1,-68,-68,0,A,Qxb2 Nbd2 Qxc3 Bb5 Qxc5 Ba4 e6 O-O Be7 Rc1 Qb6 Ne5,Stockfish 18 WASM,200000
SIG-05,Londres,Raid avec sortie c3,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Nbd2,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 2 6,Qxb2,b6b2,1,-32,-32,0,A,Qxb2 Rb1 Qxc3 Bb5 cxd4 Nxd4 Bd7 O-O e6 N2f3 Qa5 Ba4,Stockfish 18 WASM,200000
SIG-06,Londres,Question au fou,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 2 6,Nh5,f6h5,1,1,1,0,A,Nh5 Be5 f6 dxc5 Qxc5 Bd4 Qd6,Stockfish 18 WASM,200000
SIG-07,Jobava,Rupture centrale,1. d4 d5 2. Nc3 Nf6 3. Bf4,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c5,c7c5,3,-9,4,13,A,c5 e3 Bg4 f3 Bd7 dxc5 Nc6 Qd2,Stockfish 18 WASM,200000
SIG-08,Jobava,Poussée machine,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. dxc5,rnbqkb1r/pp2pppp/5n2/2Pp4/5B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 0 4,d4,d5d4,1,-81,-81,0,A,d4 Nb1 e5 Bxe5 Nc6 Bxf6 Qxf6 g3 Bxc5,Stockfish 18 WASM,200000
SIG-09,Jobava,Échec intermédiaire,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb5,rnbqkb1r/pp2pppp/5n2/1Npp4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq - 1 4,Qa5+,d8a5,1,-234,-234,0,A,Qa5+ Nc3 cxd4 Qxd4 Nc6 Qa4 Qxa4 Nxa4 e5 Bd2 Nb4 Bxb4,Stockfish 18 WASM,200000
SIG-10,Colle,Fou hors chaîne,1. d4 d5 2. Nf3 Nf6 3. e3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Bf5,c8f5,7,20,35,15,A,Bf5 c4 c6 cxd5 cxd5 Qb3 Qc8 Bd2 a6 Nc3 e6 Rc1,Stockfish 18 WASM,200000
SIG-11,Zukertort,Retirer le temps au système,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/1P2PN2/P1P2PPP/RNBQKB1R b KQkq - 0 4,c5,c7c5,1,15,15,0,A,c5 Bd3 cxd4 exd4 Bd6 c4,Stockfish 18 WASM,200000
SIG-12,Torre,Avant-poste e4,1. d4 d5 2. Nf3 Nf6 3. Bg5,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,Ne4,f6e4,2,4,5,1,A,Ne4 Bh4 c5 dxc5 Na6 e3 Naxc5 b4 g5 Nxg5,Stockfish 18 WASM,200000
SIG-13,Torre,Restriction du fou,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4,rnbqkb1r/ppp1pppp/8/3p4/3Pn2B/5N2/PPP1PPPP/RN1QKB1R b KQkq - 5 4,h5,h7h5,1,-48,-48,0,A,h5 c4 f6 Qa4+ Qd7 Qxd7+ Kxd7 e3,Stockfish 18 WASM,200000
SIG-14,Torre,Chasse concrète,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. e3,rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,f6,f7f6,1,-93,-93,0,A,f6 Bf4 g5 Bg3 h5 Bb5+ Nc6 h4 Nxg3 fxg3 Qd6,Stockfish 18 WASM,200000
SIG-15,Veresov,Rupture avant e4,1. d4 d5 2. Nc3 Nf6 3. Bg5,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c5,c7c5,4,-20,-10,10,A,c5 Bxf6 gxf6 e3 e6 dxc5 Bxc5 Qh5 f5 O-O-O,Stockfish 18 WASM,200000
SIG-16,Veresov,Tempo sur le cavalier,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. dxc5,rnbqkb1r/pp2pppp/5n2/2Pp2B1/8/2N5/PPP1PPPP/R2QKBNR b KQkq - 0 4,d4,d5d4,1,-89,-89,0,A,d4 Bxf6 gxf6 Ne4 Qd5 Nd2 Bf5 Ngf3 Nc6 c3 O-O-O Qb3,Stockfish 18 WASM,200000
SIG-17,Pseudo-Trompowsky,Question avant Nf6,1. d4 d5 2. Bg5,rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,h6,h7h6,3,-34,-26,8,A,h6 Bf4 c5 c3,Stockfish 18 WASM,200000
SIG-18,Veresov,Structure active,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. Bxf6,rnbqkb1r/pp2pppp/5B2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 0 4,gxf6,g7f6,1,-18,-18,0,A,gxf6 e3 cxd4 exd4 h5 Qf3 e6 O-O-O Nc6 Kb1 Bd7 Nge2,Stockfish 18 WASM,200000
SIG-19,Stonewall,Couper le fou d3,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. f4,rnbqkb1r/pp2pppp/5n2/2pp4/3P1P2/3BP3/PPP3PP/RNBQK1NR b KQkq - 0 4,c4,c5c4,3,-82,-46,36,B,c4 Be2,Stockfish 18 WASM,200000
SIG-20,Blackmar-Diemer,Accepter le gambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3,rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 4,exf3,e4f3,1,-72,-72,0,A,exf3 Nxf3 g6 Bc4 Bg7 Bg5 O-O Qd2 Nc6 O-O-O,Stockfish 18 WASM,200000
