line_id,chapter,ply,fen_before,move_uci,move_san,rank_top8,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,engine,nodes_best
LON-01,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/1QP1PN2/PP3PPP/RN2KB1R b KQkq - 2 6,c5c4,c4,1,-19,-19,0,A,Stockfish 18 WASM,20000
LON-01,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1Qn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R b KQkq - 0 7,a7b6,axb6,1,-46,-46,0,A,Stockfish 18 WASM,20000
LON-02,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/1QP1PN2/PP3PPP/RN2KB1R b KQkq - 2 6,c5c4,c4,1,-19,-19,0,A,Stockfish 18 WASM,20000
LON-02,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn2n2/3p4/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 1 7,c8f5,Bf5,1,-42,-42,0,A,Stockfish 18 WASM,20000
LON-03,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1Qn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R b KQkq - 0 7,a7b6,axb6,1,-46,-46,0,A,Stockfish 18 WASM,20000
LON-03,Londres — noyau ...Qb6,16,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R b KQkq - 1 8,b6b5,b5,1,-53,-53,0,A,Stockfish 18 WASM,20000
LON-04,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RNQ1KB1R b KQkq - 2 6,c5d4,cxd4,4,-10,5,15,A,Stockfish 18 WASM,20000
LON-04,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2P2N2/PP3PPP/RNQ1KB1R b KQkq - 0 7,c8f5,Bf5,1,6,6,0,A,Stockfish 18 WASM,20000
LON-05,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RNQ1KB1R b KQkq - 2 6,c5d4,cxd4,4,-10,5,15,A,Stockfish 18 WASM,20000
LON-05,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/4PN2/PP3PPP/RNQ1KB1R b KQkq - 0 7,c8f5,Bf5,1,-44,-44,0,A,Stockfish 18 WASM,20000
LON-06,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 2 6,f6h5,Nh5,3,10,15,5,A,Stockfish 18 WASM,20000
LON-06,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn5/2pp3n/3P4/2P1PNB1/PPQ2PPP/RN2KB1R b KQkq - 4 7,h5g3,Nxg3,1,-34,-34,0,A,Stockfish 18 WASM,20000
LON-07,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn5/2pp2Bn/3P4/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 4 7,h7h6,h6,1,-61,-61,0,A,Stockfish 18 WASM,20000
LON-07,Londres — noyau ...Qb6,16,r1b1kb1r/pp2ppp1/1qn4p/2pp3n/3P3B/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 1 8,g7g5,g5,1,-53,-53,0,A,Stockfish 18 WASM,20000
LON-08,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 2 6,f6h5,Nh5,3,10,15,5,A,Stockfish 18 WASM,20000
LON-08,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn5/2Pp3n/5B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 0 7,b6c5,Qxc5,1,16,16,0,A,Stockfish 18 WASM,20000
LON-09,Londres — noyau ...Qb6,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,d8b6,Qb6,1,-34,-34,0,A,Stockfish 18 WASM,20000
LON-09,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/1PP1PN2/P4PPP/RN1QKB1R b KQkq - 0 6,c8g4,Bg4,4,-24,-22,2,A,Stockfish 18 WASM,20000
LON-10,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2Pp4/5B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 6,b6b2,Qxb2,1,-63,-63,0,A,Stockfish 18 WASM,20000
LON-10,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/2n2n2/2Pp4/5B2/2P1PN2/Pq1N1PPP/R2QKB1R b KQkq - 1 7,b2c3,Qxc3,1,-68,-68,0,A,Stockfish 18 WASM,20000
LON-11,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 2 6,b6b2,Qxb2,2,-40,-36,4,A,Stockfish 18 WASM,20000
LON-11,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/Pq1N1PPP/1R1QKB1R b Kkq - 1 7,b2c3,Qxc3,1,-28,-28,0,A,Stockfish 18 WASM,20000
