line_id,key_move_gate,key_move_loss_cp,line_max_loss_cp,line_max_loss_ply,first_black_ply_over_25,first_black_move_over_25,first_black_loss_over_25,first_black_ply_over_50,first_black_move_over_50,first_black_loss_over_50,failure_fen,best_replacement_uci,best_replacement_san,replacement_loss_cp,failure_type
ORD-01,PASS,0,40,16,16,g8e7,40,,,,r3kbnr/pp1q1ppp/2n1p3/3p4/3P1Bb1/1QP2N2/PP1N1PPP/R3KB1R b KQkq - 3 8,f7f6,f6,0,LATER_CONTINUATION_REVIEW
ORD-02,PASS,0,11,10,,,,,,,,,,,NO_ENGINE_FAILURE
COL-01,PASS,0,20,14,,,,,,,,,,,NO_ENGINE_FAILURE
COL-10,PASS,0,37,18,18,f6d7,37,,,,r1bq1rk1/pp3ppp/2nbpn2/3pN3/3P4/1P1B4/PBP2PPP/RN1Q1RK1 b - - 4 9,d8c7,Qc7,0,LATER_CONTINUATION_REVIEW
VER-01,PASS,0,9,10,,,,,,,,,,,NO_ENGINE_FAILURE
LON-02,PASS,0,7,6,,,,,,,,,,,NO_ENGINE_FAILURE
LON-04,PASS,1,40,22,20,h8g8,28,,,,r3kb1r/pp2pp2/1qn2n1p/3p1bp1/3P4/2P2N1P/PP2BPPB/RNQ1K2R b KQkq - 1 10,a8c8,Rc8,0,LATER_CONTINUATION_REVIEW
LON-09,PASS,0,14,22,,,,,,,,,,,NO_ENGINE_FAILURE
JOB-12,PASS,0,53,16,16,b2a3,53,16,b2a3,53,r1b1kb1r/pp2pppp/2n2n2/3p4/2pP1B2/2P1P3/Pq1NNPPP/R2QKB1R b KQkq - 0 8,c8f5,Bf5,0,LATER_CONTINUATION_REJECT
TOR-10,PASS,0,66,20,12,e4c3,33,20,c6b4,66,r1b1kb1r/pp2pppp/2n5/2pp4/2PP1B2/4P3/P1PN1PPP/R3KB1R b KQkq - 0 10,c5d4,cxd4,0,LATER_CONTINUATION_REJECT
LON-01,PASS,0,23,20,,,,,,,,,,,NO_ENGINE_FAILURE
LON-03,PASS,0,39,26,26,f8h6,39,,,,r1b1kb1r/1p2pp2/2n2n2/1p1pN2p/2pP2pP/2P1P1B1/PP1NBPP1/R4RK1 b kq - 1 13,c8f5,Bf5,0,LATER_CONTINUATION_REVIEW
LON-05,PASS,0,17,26,,,,,,,,,,,NO_ENGINE_FAILURE
JOB-11,PASS,0,22,8,,,,,,,,,,,NO_ENGINE_FAILURE
VER-05,PASS,0,129,22,16,e4f3,35,22,d8e7,129,r1bk1b1r/pp1n1p1p/4p3/1BP2p2/8/2N2N2/PPP3PP/2KR3R b - - 1 11,d8c7,Kc7,0,LATER_CONTINUATION_REJECT
LON-10,PASS,0,121,24,24,b4a5,121,24,b4a5,121,r1b1kb1r/pp3ppp/4pn2/2Pp4/1q3B2/P3PP2/3NBP1P/2RQK2R b Kkq - 0 12,b4a3,Qxa3,0,LATER_CONTINUATION_REJECT
LON-11,PASS,0,25,18,,,,,,,,,,,NO_ENGINE_FAILURE
LON-12,PASS,0,14,26,,,,,,,,,,,NO_ENGINE_FAILURE
LON-15,PASS,0,63,18,18,c5c4,63,18,c5c4,63,r3kb1r/pp1bpppp/2n2n2/1Bpp4/3P1B2/1QP1PN2/P4PPP/qN3RK1 b kq - 1 9,c6a5,Na5,0,LATER_CONTINUATION_REJECT
PST-04,PASS,0,17,4,,,,,,,,,,,NO_ENGINE_FAILURE
LON-06,PASS,0,20,24,,,,,,,,,,,NO_ENGINE_FAILURE
LON-07,PASS,18,27,20,20,c6b4,27,,,,r1b1kb1r/pp2pp2/1qn4p/3p2pn/3P4/4PNB1/PPQ2PPP/RN2KB1R b KQkq - 0 10,c8f5,Bf5,0,LATER_CONTINUATION_REVIEW
TOR-02,PASS,0,16,8,,,,,,,,,,,NO_ENGINE_FAILURE
TOR-05,PASS,0,37,16,12,f7f6,34,,,,r1bqkb1r/pp2pppp/2n5/2pp2B1/3Pn2P/4PN2/PPPN1PP1/R2QKB1R b KQkq - 2 6,d8b6,Qb6,0,LATER_CONTINUATION_REVIEW
PST-01,PASS,0,21,4,,,,,,,,,,,NO_ENGINE_FAILURE
ORD-09,PASS,0,25,18,,,,,,,,,,,NO_ENGINE_FAILURE
TOR-08,PASS,0,133,24,22,c7c6,53,22,c7c6,53,rnb2b1r/pppkp2p/8/3p2PR/3P4/4P3/PPP2PP1/RN2KB2 b Q - 0 11,f8g7,Bg7,0,LATER_CONTINUATION_REJECT
TOR-09,PASS,0,85,10,10,f7f6,85,10,f7f6,85,rnbqkb1r/ppp1ppp1/8/3p3p/3Pn2B/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 5,f7f6,f6,0,LATER_CONTINUATION_REJECT
STO-01,PASS,2,93,18,18,d8a5,93,18,d8a5,93,r2qkb1r/p3pppp/5n2/1P1p1b2/1npP1P2/NP2P3/2P1B1PP/R1BQK1NR b KQkq - 2 9,c4b3,cxb3,0,LATER_CONTINUATION_REJECT
BDG-01,PASS,17,28,10,,,,,,,,,,,NO_ENGINE_FAILURE
ORD-10,PASS,0,35,18,12,b6b2,29,,,,rnb1kb1r/pp2pppp/1q3n2/3p4/3N1B2/4P2P/PPP2PP1/RN1QKB1R b KQkq - 0 6,b8c6,Nc6,0,LATER_CONTINUATION_REVIEW
JOB-06,PASS,0,131,16,16,d8b6,131,16,d8b6,131,r1bqkb1r/pp3ppp/2n2n2/4p3/3p4/3Q1PB1/PPP1P1PP/R2NKBNR b KQkq - 1 8,e5e4,e4,0,LATER_CONTINUATION_REJECT
JOB-09,PASS,0,50,22,22,d8a5,50,,,,r2qkb1r/pp1b1p1p/4np2/1N1pp3/7Q/P3P3/1PP2PPP/R3KBNR b KQkq - 1 11,d5d4,d4,0,LATER_CONTINUATION_REVIEW
JOB-10,PASS,0,73,16,16,d8b6,73,16,d8b6,73,r1bqkb1r/pp3ppp/2n2n2/4p1B1/3p3P/3Q4/PPP1PPP1/R2NKBNR b KQkq - 1 8,d8a5,Qa5+,0,LATER_CONTINUATION_REJECT
VER-08,PASS,0,176,24,24,d7c5,176,24,d7c5,176,r3kb1r/pp1n1pp1/1qn1b2p/4p3/3pP3/P4P2/1PPQNBPP/R2NKB1R b KQkq - 2 12,c6a5,Na5,0,LATER_CONTINUATION_REJECT
JOB-03,PASS,0,53,12,10,b8c6,29,12,e7e5,53,r1bqkb1r/pp2pppp/2n2n2/2P5/3p1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 6,f6d5,Nd5,0,LATER_CONTINUATION_REJECT
JOB-04,PASS,0,19,18,,,,,,,,,,,NO_ENGINE_FAILURE
JOB-13,PASS,7,66,26,26,c6d4,66,26,c6d4,66,2r1kb1r/1p3pp1/p1n1pn1p/2qp4/P2N1B2/4P3/1PP1NPPP/R2Q1RK1 b k - 1 13,f8e7,Be7,0,LATER_CONTINUATION_REJECT
TOR-06,PASS,0,42,20,20,d8b6,42,,,,r1bqkb1r/pp3ppp/2n5/3p4/3Pp3/4P3/PP1N1PPP/R2QKBNR b KQkq - 0 10,f8d6,Bd6,0,LATER_CONTINUATION_REVIEW
VER-03,PASS,0,57,12,12,c8f5,57,12,c8f5,57,rnbqkb1r/pp2pp1p/5p2/2P5/3p4/8/PPP1PPPP/RN1QKBNR b KQkq - 1 6,e7e5,e5,0,LATER_CONTINUATION_REJECT
