core_order,line_id,bias_code,bias_title,chapter_opening,title,tier,line_type,key_move_san,key_move_uci,fen_before_key_move,fen_after_key_move,fixed_prefix,concept,human_problem,black_plan,memory_rule,editorial_surprise_1_5,editorial_opponent_burden_1_5,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,legacy_engine_grade,legacy_engine_max_loss_cp,stockfish_v1_status,maia3_status,lichess_status,external_review_status,publication_gate
1,ORD-01,B1,Pilotage automatique,Londres — ordres de coups,2.Bf4 : ...c5 puis le clouage ...Bg4,Essentiel,critique,Bg4,c8g4,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. Nf3 Bg4,Frapper le centre puis développer avec un clouage avant de sortir la dame.,"Sans c3, la dame noire n’a pas besoin de sortir tôt ; le clouage ralentit le développement naturel.","Après Be2, choisir entre ...Bxe2 et ...e6 ; après h3, décider Bh5 ou Bf5.","Sans c3, développe d’abord ; avec c3, ...Qb6 devient plus fort.",4,4,5,5,A,19,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
2,ORD-02,B1,Pilotage automatique,Londres — ordres de coups,2.Bf4 et 3.c3 : revenir au plan ...Nc6,Essentiel,structure,Qb6,d8b6,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Bf4 c5 3. c3 Nc6 4. e3 Nf6 5. Nf3 Qb6,Retrouver le noyau du répertoire par transposition.,c3 semble sécuriser d4 mais retire la meilleure case au cavalier b1.,Attaquer b2 et d4 ; utiliser ...Bf5 si la dame recule.,c3 protège d4 une fois et affaiblit b2 pour longtemps.,3,3,5,5,A,19,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
3,COL-01,B1,Pilotage automatique,Colle et Zukertort,3.e3 : sortir le fou avec ...Bf5,Essentiel,critique,e6,e7e6,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Bd3 e6,Développer le fou c8 avant de fermer sa diagonale.,Le Colle compte sur un Noir qui joue automatiquement ...e6 puis subit e4.,"Après Bxf5 exf5, utiliser la colonne e et contrôler e4.","Contre le Colle, le fou c8 sort avant le pion e.",3,3,5,5,A,21,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
4,COL-10,B1,Pilotage automatique,Colle et Zukertort,Zukertort : frapper par ...c5,Essentiel,critique,Nc6,b8c6,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3 c5 5. Bb2 Nc6,Occuper l’espace avant que Bb2 et Bd3 ne construisent une attaque.,Le plan blanc est lent et suppose une position fermée.,"Jouer ...Bd6, ...O-O et parfois ...cxd4 pour isoler d4.",Le Zukertort aime le temps : enlève-lui du temps avec ...c5.,3,3,5,5,A,1,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
5,VER-01,B1,Pilotage automatique,Veresov et pseudo-Trompowsky,3...c5 : attaquer d4 immédiatement,Essentiel,critique,e6,e7e6,rnbqkb1r/pp2pppp/5n2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. e3 e6,Refuser une position fermée et préparer ...Nc6.,Le Veresov veut e4 sans rencontrer de tension centrale.,"Développer ...Nc6, ...Be7 et décider entre ...cxd4 et ...Be7.","Contre Nc3+Bg5, la réponse est ...c5 avant e4.",3,3,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
6,LON-02,B2,Double cible et surcharge,Londres — noyau ...Qb6,La dame recule en c2 : ...Bf5,Club,critique,Bf5,c8f5,r1b1kb1r/pp2pppp/1qn2n2/3p4/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq -,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qc2 Bf5,Développer avec tempo sur la dame et obtenir une version améliorée du développement noir.,Le recul Qc2 paraît naturel mais autorise un second gain de temps.,"Après ...Bf5, développer ...e6, ...Be7 et choisir entre ...Nh5 et ...e5.",Une dame déplacée deux fois doit être interrogée une troisième fois.,4,4,5,5,A,0,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
7,LON-04,B2,Double cible et surcharge,Londres — noyau ...Qb6,Qc1 et reprise par le pion e,Essentiel,critique,Bf5,c8f5,r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2P2N2/PP3PPP/RNQ1KB1R b KQkq -,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1 cxd4 7. exd4 Bf5,Clarifier le centre puis développer le fou avant ...e6.,Qc1 défend b2 mais enferme la tour a1 et laisse les Noirs gagner l’initiative de développement.,"Mettre le fou en f5, jouer ...e6 et exploiter la colonne c semi-ouverte.","Quand la dame retourne en c1, ouvre la colonne c avant qu’elle ne ressorte.",3,3,5,5,A,15,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
8,LON-09,B2,Double cible et surcharge,Londres — noyau ...Qb6,b3 protège b2 : développer avec ...Bg4,Essentiel,structure,Bg4,c8g4,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/1PP1PN2/P4PPP/RN1QKB1R b KQkq -,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. b3 Bg4,Répondre à une concession de case sombre par un développement actif.,b3 règle un problème immédiat mais affaiblit c3 et ralentit le développement du cavalier b1.,"Mettre la pression sur f3, jouer ...e6 et échanger en d4 au bon moment.","Quand b2 est sauvé par b3, change de cible : f3 et d4.",3,3,5,5,A,2,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
9,JOB-12,B2,Double cible et surcharge,Jobava,4.Nb1 : la pression ...Qb6,Club,pratique,Qb6,d8b6,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb1 Qb6,Punir le retrait du cavalier par une double attaque sur b2 et d4.,"Le cavalier recule pour éviter les tactiques, mais le développement blanc recommence à zéro.",Prendre b2 si les cases de sortie sont claires ; sinon développer ...Nc6.,Un retrait au premier rang autorise la dame à entrer.,5,5,4,4,A,5,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
10,TOR-10,B2,Double cible et surcharge,Torre,Bf4 puis ...Qb6 : double pression,Avancé,critique,Qb6,d8b6,rnbqkb1r/pp2pppp/8/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bf4 c5 5. e3 Qb6,Combiner l’avant-poste e4 avec la cible b2.,Les Blancs ont replacé le fou comme au Londres mais ont perdu un tempo.,Jouer ...Nc6 et prendre b2 si la dame dispose d’une sortie.,Une Torre qui recule en f4 est un Londres avec un tempo de moins.,5,5,4,5,A,3,A_REEXECUTER_AVEC_SCRIPT_V1,NON_EXECUTE,NON_EXECUTE,EN_ATTENTE,CORE_RC1_NON_PUBLIABLE_SANS_VALIDATION
