line_id,position_role,elo_min,elo_max,speed,split,move_uci,count,total_positions,frequency
BDG-01,after_key,1700,1899,blitz,discovery,f1c4,1,1,1.0
BDG-01,before_key,1100,1299,blitz,discovery,e7e6,1,3,0.3333333333333333
BDG-01,before_key,1100,1299,blitz,discovery,b8c6,1,3,0.3333333333333333
BDG-01,before_key,1100,1299,blitz,discovery,c8g4,1,3,0.3333333333333333
BDG-01,before_key,1300,1499,blitz,discovery,c8g4,5,9,0.5555555555555556
BDG-01,before_key,1300,1499,blitz,discovery,e7e6,2,9,0.2222222222222222
BDG-01,before_key,1300,1499,blitz,discovery,b8c6,2,9,0.2222222222222222
BDG-01,before_key,1300,1499,rapid,discovery,e7e6,1,2,0.5
BDG-01,before_key,1300,1499,rapid,discovery,c7c5,1,2,0.5
BDG-01,before_key,1500,1699,blitz,discovery,c8g4,6,10,0.6
BDG-01,before_key,1500,1699,blitz,discovery,g7g6,2,10,0.2
BDG-01,before_key,1500,1699,blitz,discovery,c7c6,1,10,0.1
BDG-01,before_key,1500,1699,blitz,discovery,b8d7,1,10,0.1
BDG-01,before_key,1500,1699,rapid,discovery,c8g4,2,4,0.5
BDG-01,before_key,1500,1699,rapid,discovery,a7a6,1,4,0.25
BDG-01,before_key,1500,1699,rapid,discovery,c7c6,1,4,0.25
BDG-01,before_key,1700,1899,blitz,discovery,e7e6,5,10,0.5
BDG-01,before_key,1700,1899,blitz,discovery,c8g4,4,10,0.4
BDG-01,before_key,1700,1899,blitz,discovery,c8f5,1,10,0.1
BDG-01,before_key,1700,1899,rapid,discovery,e7e6,3,7,0.42857142857142855
BDG-01,before_key,1700,1899,rapid,discovery,c8g4,3,7,0.42857142857142855
BDG-01,before_key,1700,1899,rapid,discovery,a7a6,1,7,0.14285714285714285
BDG-01,before_key,1900,2099,blitz,discovery,e7e6,5,15,0.3333333333333333
BDG-01,before_key,1900,2099,blitz,discovery,c8g4,4,15,0.26666666666666666
BDG-01,before_key,1900,2099,blitz,discovery,c7c6,3,15,0.2
BDG-01,before_key,1900,2099,blitz,discovery,b8c6,2,15,0.13333333333333333
BDG-01,before_key,1900,2099,blitz,discovery,g7g6,1,15,0.06666666666666667
BDG-01,before_key,1900,2099,rapid,discovery,c7c6,1,3,0.3333333333333333
BDG-01,before_key,1900,2099,rapid,discovery,e7e6,1,3,0.3333333333333333
