line_id,position_role,elo_min,elo_max,speed,split,move_uci,count,total_positions,frequency
BDG-01,after_key,1100,1299,blitz,discovery,c1g5,2,5,0.4
BDG-01,after_key,1100,1299,blitz,discovery,f3h4,1,5,0.2
BDG-01,after_key,1100,1299,blitz,discovery,c1e3,1,5,0.2
BDG-01,after_key,1100,1299,blitz,discovery,h2h3,1,5,0.2
BDG-01,after_key,1100,1299,rapid,discovery,f1d3,1,1,1.0
BDG-01,after_key,1300,1499,blitz,discovery,f1c4,3,3,1.0
BDG-01,after_key,1500,1699,blitz,discovery,f1c4,3,6,0.5
BDG-01,after_key,1500,1699,blitz,discovery,c1e3,2,6,0.3333333333333333
BDG-01,after_key,1500,1699,blitz,discovery,h2h3,1,6,0.16666666666666666
BDG-01,after_key,1500,1699,rapid,discovery,f1e2,1,2,0.5
BDG-01,after_key,1500,1699,rapid,discovery,f1d3,1,2,0.5
BDG-01,after_key,1700,1899,blitz,discovery,f3e5,2,6,0.3333333333333333
BDG-01,after_key,1700,1899,blitz,discovery,f1d3,2,6,0.3333333333333333
BDG-01,after_key,1700,1899,blitz,discovery,h2h3,1,6,0.16666666666666666
BDG-01,after_key,1700,1899,blitz,discovery,f1c4,1,6,0.16666666666666666
BDG-01,after_key,1700,1899,rapid,discovery,h2h3,2,4,0.5
BDG-01,after_key,1700,1899,rapid,discovery,f1c4,1,4,0.25
BDG-01,after_key,1700,1899,rapid,discovery,f1d3,1,4,0.25
BDG-01,after_key,1900,2099,blitz,discovery,c1e3,1,2,0.5
BDG-01,after_key,1900,2099,blitz,discovery,f1c4,1,2,0.5
BDG-01,after_key,1900,2099,rapid,discovery,f1d3,1,2,0.5
BDG-01,after_key,1900,2099,rapid,discovery,c1f4,1,2,0.5
BDG-01,before_key,1100,1299,blitz,discovery,c8g4,11,29,0.3793103448275862
BDG-01,before_key,1100,1299,blitz,discovery,e7e6,7,29,0.2413793103448276
BDG-01,before_key,1100,1299,blitz,discovery,b8c6,5,29,0.1724137931034483
BDG-01,before_key,1100,1299,blitz,discovery,g7g6,2,29,0.06896551724137931
BDG-01,before_key,1100,1299,blitz,discovery,c8f5,1,29,0.034482758620689655
BDG-01,before_key,1100,1299,blitz,discovery,c7c6,1,29,0.034482758620689655
BDG-01,before_key,1100,1299,blitz,discovery,h7h6,1,29,0.034482758620689655
BDG-01,before_key,1100,1299,blitz,discovery,f6d5,1,29,0.034482758620689655
BDG-01,before_key,1100,1299,rapid,discovery,c8g4,7,13,0.5384615384615384
BDG-01,before_key,1100,1299,rapid,discovery,b8c6,4,13,0.3076923076923077
BDG-01,before_key,1100,1299,rapid,discovery,e7e6,2,13,0.15384615384615385
BDG-01,before_key,1300,1499,blitz,discovery,e7e6,21,56,0.375
BDG-01,before_key,1300,1499,blitz,discovery,c8g4,16,56,0.2857142857142857
BDG-01,before_key,1300,1499,blitz,discovery,b8c6,11,56,0.19642857142857142
BDG-01,before_key,1300,1499,blitz,discovery,c8f5,4,56,0.07142857142857142
BDG-01,before_key,1300,1499,blitz,discovery,c7c5,1,56,0.017857142857142856
BDG-01,before_key,1300,1499,blitz,discovery,b7b6,1,56,0.017857142857142856
BDG-01,before_key,1300,1499,blitz,discovery,c7c6,1,56,0.017857142857142856
BDG-01,before_key,1300,1499,blitz,discovery,h7h6,1,56,0.017857142857142856
BDG-01,before_key,1300,1499,rapid,discovery,c8g4,17,33,0.5151515151515151
BDG-01,before_key,1300,1499,rapid,discovery,b8c6,8,33,0.24242424242424243
BDG-01,before_key,1300,1499,rapid,discovery,e7e6,7,33,0.21212121212121213
BDG-01,before_key,1300,1499,rapid,discovery,f6d5,1,33,0.030303030303030304
BDG-01,before_key,1500,1699,blitz,discovery,c8g4,54,96,0.5625
BDG-01,before_key,1500,1699,blitz,discovery,e7e6,24,96,0.25
BDG-01,before_key,1500,1699,blitz,discovery,c8f5,5,96,0.052083333333333336
BDG-01,before_key,1500,1699,blitz,discovery,b8c6,4,96,0.041666666666666664
BDG-01,before_key,1500,1699,blitz,discovery,h7h6,3,96,0.03125
BDG-01,before_key,1500,1699,blitz,discovery,c7c6,2,96,0.020833333333333332
BDG-01,before_key,1500,1699,blitz,discovery,g7g6,2,96,0.020833333333333332
BDG-01,before_key,1500,1699,blitz,discovery,c7c5,1,96,0.010416666666666666
BDG-01,before_key,1500,1699,blitz,discovery,c8d7,1,96,0.010416666666666666
BDG-01,before_key,1500,1699,rapid,discovery,c8g4,16,41,0.3902439024390244
BDG-01,before_key,1500,1699,rapid,discovery,e7e6,16,41,0.3902439024390244
BDG-01,before_key,1500,1699,rapid,discovery,b8c6,4,41,0.0975609756097561
BDG-01,before_key,1500,1699,rapid,discovery,c8f5,2,41,0.04878048780487805
