line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status,position_role,frequency,source,best_eval_mover_cp,candidate_eval_mover_cp,response_loss_cp,response_quality,nodes
ORD-01,B1,1100,maia3-79m,5,c2c4,c4,0.0151630882173776,0.9878678212407976,0.4256131767466212,513,25,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0151630882173776,maia3,31,-40,71,ERROR,100000
ORD-01,B1,1100,maia3-79m,6,g2g3,g3,0.0109514547511935,0.9878678212407976,0.4256131767466212,497,27,476,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0109514547511935,maia3,15,-160,175,SEVERE_ERROR,100000
ORD-01,B1,1100,maia3-79m,7,b2b3,b3,0.0074914833530783,0.9878678212407976,0.4256131767466212,494,27,479,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0074914833530783,maia3,12,-156,168,SEVERE_ERROR,100000
ORD-01,B1,1100,maia3-79m,9,b1c3,Nc3,0.0049415295943617,0.9878678212407976,0.4256131767466212,507,27,466,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0049415295943617,maia3,11,-44,55,ERROR,100000
ORD-01,B1,1300,maia3-79m,4,c2c4,c4,0.0186279136687517,0.9883486481849104,0.4312486267262949,513,25,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0186279136687517,maia3,14,-48,62,ERROR,100000
ORD-01,B1,1300,maia3-79m,6,g2g3,g3,0.0113351605832576,0.9883486481849104,0.4312486267262949,500,27,473,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0113351605832576,maia3,13,-152,165,SEVERE_ERROR,100000
ORD-01,B1,1300,maia3-79m,7,b2b3,b3,0.0088089434430003,0.9883486481849104,0.4312486267262949,503,26,471,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0088089434430003,maia3,12,-149,161,SEVERE_ERROR,100000
ORD-01,B1,1300,maia3-79m,10,b1c3,Nc3,0.0035150202456861,0.9883486481849104,0.4312486267262949,513,26,461,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0035150202456861,maia3,16,-52,68,ERROR,100000
ORD-01,B1,1500,maia3-79m,3,c2c4,c4,0.0230318326503038,0.9890689314343036,0.448404635595114,511,27,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0230318326503038,maia3,14,-46,60,ERROR,100000
ORD-01,B1,1500,maia3-79m,6,g2g3,g3,0.0118206376209855,0.9890689314343036,0.448404635595114,503,28,469,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,after_key,0.0118206376209855,maia3,16,-180,196,SEVERE_ERROR,100000
