line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status
ORD-01,B1,1100,maia3-79m,1,f1e2,Be2,0.2540035843849182,0.9924695214722306,0.8341299516902619,542,25,433,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,2,c2c3,c3,0.1962345838546753,0.9924695214722306,0.8341299516902619,531,25,444,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,3,b1d2,Nbd2,0.18160021305084229,0.9924695214722306,0.8341299516902619,516,23,461,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,4,h2h3,h3,0.14262829720973969,0.9924695214722306,0.8341299516902619,506,26,468,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,5,f1b5,Bb5,0.07372550666332245,0.9924695214722306,0.8341299516902619,528,22,450,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,6,f1d3,Bd3,0.05135504901409149,0.9924695214722306,0.8341299516902619,501,23,476,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,7,c2c4,c4,0.050537265837192535,0.9924695214722306,0.8341299516902619,513,23,464,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,8,d4c5,dxc5,0.022631946951150894,0.9924695214722306,0.8341299516902619,447,21,532,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,9,b1c3,Nc3,0.017686698585748672,0.9924695214722306,0.8341299516902619,517,24,459,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-79m,10,b2b3,b3,0.002066375920549035,0.9924695214722306,0.8341299516902619,498,24,478,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1300,maia3-79m,1,f1e2,Be2,0.27872511744499207,0.9943295890698209,0.7966626605576077,534,25,441,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1300,maia3-79m,2,b1d2,Nbd2,0.21290893852710724,0.9943295890698209,0.7966626605576077,517,24,459,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
