line_id,bias_code,elo,fen_after_key_move,history_uci,model,model_revision,rank,move_uci,policy_probability,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,status
ORD-01,B1,1100,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-01,B1,1300,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-01,B1,1500,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-01,B1,1700,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-01,B1,1900,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-01,B1,2100,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,1100,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,1300,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,1500,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,1700,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,1900,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
ORD-02,B1,2100,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,1100,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,1300,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,1500,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,1700,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,1900,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-01,B1,2100,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,1100,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,1300,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,1500,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,1700,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,1900,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
COL-10,B1,2100,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1100,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1300,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1500,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1700,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1900,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,2100,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1100,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1300,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1500,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1700,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1900,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,2100,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1300,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1500,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1700,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1900,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,2100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
