line_id,move_uci,maia_policy_mean,maia_policy_max,maia_rank_min,lichess_count,lichess_total,lichess_frequency,in_lichess_test_expanded,in_maia_top10
BDG-01,f1c4,0.42381319403648376,0.5727971792221069,1,13.0,29.0,0.4482758620689655,True,True
BDG-01,f1e2,0.0164423153735697,0.0250235442072153,9,1.0,3.0,0.3333333333333333,True,True
BDG-01,c1e3,0.06648203947891787,0.0944916829466819,3,4.0,14.0,0.2857142857142857,True,True
BDG-01,f1d3,0.18707611411809918,0.2413967102766037,2,7.0,26.0,0.2692307692307692,True,True
BDG-01,f3e5,0.09289277096589403,0.176634207367897,2,4.0,17.0,0.23529411764705882,True,True
BDG-01,f1b5,0.034711287356913034,0.0541435703635215,6,3.0,15.0,0.2,True,True
BDG-01,c1g5,0.06163072027266022,0.078387975692749,4,3.0,19.0,0.15789473684210525,True,True
BDG-01,h2h3,0.028499783016741217,0.030984878540039,5,1.0,8.0,0.125,True,True
BDG-01,c1f4,0.042087171226739835,0.0837699919939041,3,,,,False,True
BDG-01,f3h4,0.01748342563708617,0.0233802311122417,9,,,,False,True
BDG-01,d4d5,0.0215247515588998,0.0215247515588998,10,,,,False,True
COL-01,f3e5,0.019054443575441782,0.0307147577404975,5,2.0,3.0,0.6666666666666666,True,True
COL-01,d3f5,0.5095044076442719,0.5528113842010498,1,11.0,26.0,0.4230769230769231,True,True
COL-01,e1g1,0.19080393264691034,0.2998213469982147,2,8.0,21.0,0.38095238095238093,True,True
COL-01,c2c3,0.059271909606953416,0.0762167647480964,3,1.0,3.0,0.3333333333333333,True,True
COL-01,b1d2,0.06744823108116782,0.0931482762098312,3,1.0,5.0,0.2,True,True
COL-01,b2b3,0.030355296097695782,0.0462819375097751,4,3.0,16.0,0.1875,True,True
COL-01,b1c3,0.0242926554443935,0.0405212119221687,6,2.0,15.0,0.13333333333333333,True,True
COL-01,d1e2,0.06052109847466145,0.0797903761267662,3,,,,False,True
COL-01,c2c4,0.014238812650243399,0.0246652048081159,7,,,,False,True
COL-01,a2a3,0.008295934492101233,0.0090945484116673,10,,,,False,True
COL-01,h2h3,0.0079274023883044,0.0096221361309289,10,,,,False,True
COL-10,f1e2,0.04021540128936365,0.0543307438492774,4,1.0,1.0,1.0,True,True
COL-10,f1d3,0.24257214615742362,0.2941364347934723,2,9.0,22.0,0.4090909090909091,True,True
COL-10,a2a3,0.15841600298881525,0.196800410747528,3,4.0,10.0,0.4,True,True
COL-10,b1d2,0.3179824203252792,0.4420499205589294,1,6.0,19.0,0.3157894736842105,True,True
COL-10,f1b5,0.0808950243517756,0.1425735652446746,3,4.0,16.0,0.25,True,True
COL-10,g2g3,0.0035824680235236003,0.0039463220164179,10,2.0,9.0,0.2222222222222222,True,True
COL-10,c2c4,0.04484951185683405,0.0720269680023193,5,1.0,5.0,0.2,True,True
COL-10,d4c5,0.04079404380172488,0.0733823180198669,5,2.0,14.0,0.14285714285714285,True,True
COL-10,c2c3,0.035396272316575,0.0539739057421684,7,,,,False,True
COL-10,b1c3,0.01888461783528325,0.0339277423918247,8,,,,False,True
COL-10,f3e5,0.0151488267195721,0.0299759842455387,9,,,,False,True
JOB-03,c3b1,0.23012693536778286,0.4735030829906463,1,1.0,1.0,1.0,True,True
JOB-03,c3b5,0.5642142494519552,0.8050331473350525,1,2.0,2.0,1.0,True,True
JOB-03,f4b8,0.0278867591793338,0.0474294982850551,4,1.0,1.0,1.0,True,True
JOB-03,c3a4,0.1355007948974768,0.249748557806015,2,,,,False,True
JOB-03,c3e4,0.01623607100918883,0.0202704202383756,4,,,,False,True
JOB-03,e2e3,0.009592955039503649,0.0176859851926565,5,,,,False,True
JOB-03,d1d4,0.00203854835126545,0.0027024263981729,7,,,,False,True
JOB-03,g1f3,0.004206002301846884,0.0068694511428475,7,,,,False,True
JOB-03,e2e4,0.0025503018259769,0.0043562776409089,8,,,,False,True
JOB-03,f4e5,0.0025384520607379165,0.0036917685065418,8,,,,False,True
JOB-03,c3d5,0.0016898066969588,0.0016898066969588,9,,,,False,True
JOB-03,d1d2,0.0035823034122586,0.0035823034122586,9,,,,False,True
JOB-03,d1d3,0.0009832462916771333,0.0011691863182932,9,,,,False,True
JOB-03,b2b4,0.0020563744474202,0.0020563744474202,10,,,,False,True
JOB-04,b5c3,0.8941955963770548,0.9403157830238342,1,7.0,8.0,0.875,True,True
JOB-04,c2c3,0.0808388907462358,0.1336999237537384,2,1.0,2.0,0.5,True,True
JOB-04,b2b4,0.0046078004331017,0.0111720534041523,4,1.0,2.0,0.5,True,True
JOB-04,f4d2,0.0056525411006683665,0.0179041102528572,4,1.0,2.0,0.5,True,True
JOB-04,d1d2,0.014705161874492917,0.0492716990411281,3,,,,False,True
JOB-06,d4a4,0.24041146536668137,0.31058070063591,1,,,,False,True
