line_id,ply,fen_before,move_uci,move_san,rank_multipv,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,nodes,engine_id
ORD-01,2,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,d5,2.0,32,36,4,A,500000,Stockfish 18
ORD-01,4,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c7c5,c5,1.0,15,19,4,A,500000,Stockfish 18
ORD-01,6,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,b8c6,Nc6,1.0,18,19,1,A,500000,Stockfish 18
ORD-01,8,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,c8g4,Bg4,2.0,13,10,0,A,500000,Stockfish 18
ORD-01,10,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,c5d4,cxd4,2.0,16,16,0,A,500000,Stockfish 18
ORD-01,12,r2qkbnr/pp2pppp/2n5/3p4/3P1Bb1/2P2N2/PP3PPP/RN1QKB1R b KQkq - 0 6,e7e6,e6,1.0,7,12,5,A,500000,Stockfish 18
ORD-01,14,r2qkbnr/pp3ppp/2n1p3/3p4/3P1Bb1/1QP2N2/PP3PPP/RN2KB1R b KQkq - 1 7,d8d7,Qd7,1.0,-11,-11,0,A,500000,Stockfish 18
ORD-01,16,r3kbnr/pp1q1ppp/2n1p3/3p4/3P1Bb1/1QP2N2/PP1N1PPP/R3KB1R b KQkq - 3 8,g8e7,Nge7,2.0,-17,23,40,B,500000,Stockfish 18
ORD-02,2,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,d5,3.0,25,29,4,A,500000,Stockfish 18
ORD-02,4,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c7c5,c5,1.0,13,13,0,A,500000,Stockfish 18
ORD-02,6,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,b8c6,Nc6,2.0,-5,3,8,A,500000,Stockfish 18
ORD-02,8,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,g8f6,Nf6,2.0,3,-1,0,A,500000,Stockfish 18
ORD-02,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 2 5,d8b6,Qb6,2.0,-3,8,11,A,500000,Stockfish 18
ORD-02,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 4 6,f6h5,Nh5,1.0,-1,3,4,A,500000,Stockfish 18
ORD-02,14,r1b1kb1r/pp2pppp/1qn5/2ppB2n/3P4/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 6 7,f7f6,f6,1.0,1,10,9,A,500000,Stockfish 18
ORD-02,16,r1b1kb1r/pp2p1pp/1qn2p2/2PpB2n/8/2P1PN2/PPQ2PPP/RN2KB1R b KQkq - 0 8,b6c5,Qxc5,1.0,11,0,0,A,500000,Stockfish 18
COL-01,2,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,d5,2.0,27,28,1,A,500000,Stockfish 18
COL-01,4,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g8f6,Nf6,2.0,28,33,5,A,500000,Stockfish 18
